"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000261796.1|ISY1-RAB43",72.3199679632735,-22.130673707866,2.25812860329451,-9.8004487767341,1.12086538040832e-22,3.81890043758917e-18
"ENSG00000288637.1|ENSG00000288637",70.0691433939128,-22.6675577219991,2.71405557712511,-8.35191361335715,6.71657802203455e-17,1.1442026489437e-12
"ENSG00000269793.7|ZIM2-AS1",27.5099638889911,-20.4271854340625,3.00318057439611,-6.80185054745504,1.03283718312868e-11,1.17299318887924e-07
"ENSG00000251357.4|ENSG00000251357",247.956053346812,23.1178840622264,3.61230672826437,6.39975666555148,1.55624768511179e-10,1.3255728719861e-06
"ENSG00000205918.10|PDPK2P",32.6917616729784,-21.2263856487599,3.44983620602915,-6.15286766706873,7.60942973650548e-10,5.18521761104956e-06
"ENSG00000212939.2|ENSG00000212939",30.9607725828862,17.029039243718,2.82681349076628,6.02411135341717,1.70041271435671e-09,9.65579359847457e-06
"ENSG00000169085.14|VXN",5006.68718587418,-16.613438374839,2.81063442819761,-5.91092111025366,3.40199945766666e-09,1.65585033603087e-05
"ENSG00000107593.17|PKD2L1",290.15894667145,-16.7975250480509,2.91036752996916,-5.77161642819348,7.85146801213471e-09,3.34384208301802e-05
"ENSG00000248167.7|TRIM39-RPP21",45.1537687631784,-23.7210586111983,4.23102119886297,-5.60646177276849,2.06504558716554e-08,7.81757424447969e-05
"ENSG00000287190.1|ENSG00000287190",107.656149802555,-23.2880798478975,4.23094174006384,-5.50423080218215,3.70783539981505e-08,0.00011484514537009
